title,kind,authors,day,time,session
"How Furiously Can Colourless Green Ideas Sleep? Sentence Acceptability in Context Jey Han Lau, Carlos Santos Armendariz, Matthew Purver, Chang Shu, Shalom Lap-",TACL,pin,2020/07/06,05:00–06:00,Session 1A Cognitive Modeling and Psycholinguistics-1
Learning to Understand Child-directed and Adult-directed Speech,Short,"Lieke Gelderloos, Grzegorz Chrupała and Afra Alishahi",2020/07/06,05:00–06:00,Session 1A Cognitive Modeling and Psycholinguistics-1
Predicting Depression in Screening Interviews from Latent Categorization of Interview Prompts,Long,"Alex Rinaldi, Jean Fox Tree and Snigdha Chaturvedi",2020/07/06,05:00–06:00,Session 1A Cognitive Modeling and Psycholinguistics-1
Coach: A Coarse-to-Fine Approach for Cross-domain Slot Filling,Short,"Zihan Liu, Genta Indra Winata, Peng Xu and Pascale Fung",2020/07/06,05:00–06:00,Session 1A Dialogue and Interactive Systems-1
Designing Precise and Robust Dialogue Response Evaluators,Short,"Tianyu Zhao, Divesh Lala and Tatsuya Kawahara",2020/07/06,05:00–06:00,Session 1A Dialogue and Interactive Systems-1
"Dialogue State Tracking with Explicit Slot Connection Modeling Yawen Ouyang, Moxin Chen, Xinyu Dai, Yinggong Zhao, Shujian Huang and Jia-",Short,jun CHEN,2020/07/06,05:00–06:00,Session 1A Dialogue and Interactive Systems-1
Generating Informative Conversational Response using Recurrent Knowledge-Interaction and Knowledge-Copy,Long,"Xiexiong Lin, Weiyu Jian, Jianshan He, Taifeng Wang and Wei Chu",2020/07/06,05:00–06:00,Session 1A Dialogue and Interactive Systems-1
"Guiding Variational Response Generator to Exploit Persona Bowen Wu, MengYuan Li, Zongsheng Wang, Yifu Chen, Derek F. Wong, qihang",Long,"feng, Junhong Huang and Baoxun Wang",2020/07/06,,
Large Scale Multi-Actor Generative Dialog Modeling,Long,"Alex Boyd, Raul Puri, Mohammad Shoeybi, Mostofa Patwary and Bryan Catanzaro",2020/07/06,,
PLATO: Pre-trained Dialogue Generation Model with Discrete Latent Vari- able,Long,"Siqi Bao, Huang He, Fan Wang, Hua Wu and Haifeng Wang",2020/07/06,,
Slot-consistent NLG for Task-oriented Dialogue Systems with Iterative Rec- tiﬁcation Network,Long,"Yangming Li, Kaisheng Yao, Libo Qin, Wanxiang Che, Xiaolong Li and Ting Liu",2020/07/06,,
Span-ConveRT: Few-shot Span Extraction for Dialog with Pretrained Con- versational Representations,Short,"Samuel Coope, Tyler Farghly, Daniela Gerz, Ivan Vuli´c and Matthew Henderson",2020/07/06,,
Zero-Shot Transfer Learning with Synthesized Data for Multi-Domain Dia- logue State Tracking,Long,"Giovanni Campagna, Agata Foryciarz, Mehrad Moradshahi and Monica Lam",2020/07/06,,
A Complete Shift-Reduce Chinese Discourse Parser with Robust Dynamic Oracle,Short,"Shyh-Shiun Hung, Hen-Hsen Huang and Hsin-Hsi Chen",2020/07/06,05:00–06:00,Session 1A Discourse and Pragmatics-1
TransS-Driven Joint Learning Architecture for Implicit Discourse Relation Recognition,Long,"Ruifang He, Jian Wang, Fengyu Guo and Yugui Han",2020/07/06,05:00–06:00,Session 1A Discourse and Pragmatics-1
A Study of Non-autoregressive Model for Sequence Generation,Long,"Yi Ren, Jinglin Liu, Xu Tan, Zhou Zhao, sheng zhao and Tie-Yan Liu",2020/07/06,05:00–06:00,Session 1A Generation-1
Cross-modal Language Generation using Pivot Stabilization for Web-scale Language Coverage,Long,Ashish V. Thapliyal and Radu Soricut,2020/07/06,05:00–06:00,Session 1A Generation-1
Fact-based Text Editing,Long,"Hayate Iso, Chao Qiao and Hang Li",2020/07/06,05:00–06:00,Session 1A Generation-1
Few-Shot NLG with Pre-Trained Language Model,Short,"Zhiyu Chen, Harini Eavani, Wenhu Chen, Yinyin Liu and William Yang Wang",2020/07/06,05:00–06:00,Session 1A Generation-1
Fluent Response Generation for Conversational Question Answering,Long,"Ashutosh Baheti, Alan Ritter and Kevin Small",2020/07/06,05:00–06:00,Session 1A Generation-1
Generating Diverse and Consistent QA pairs from Contexts with Information-Maximizing Hierarchical Conditional VAEs,Long,"Dong Bok Lee, Seanie Lee, Woo Tae Jeong, Donghwan Kim and Sung Ju Hwang",2020/07/06,05:00–06:00,Session 1A Generation-1
Learning to Ask More: Semi-Autoregressive Sequential Question Genera- tion under Dual-Graph Interaction,Long,Zi Chai and Xiaojun Wan,2020/07/06,05:00–06:00,Session 1A Generation-1
Neural Syntactic Preordering for Controlled Paraphrase Generation,Long,Tanya Goyal and Greg Durrett,2020/07/06,05:00–06:00,Session 1A Generation-1
Pre-train and Plug-in: Flexible Conditional Text Generation with Varia- tional Auto-Encoders,Long,"Yu Duan, Canwen Xu, Jiaxin Pei, Jialong Han and Chenliang Li",2020/07/06,05:00–06:00,Session 1A Generation-1
Probabilistically Masked Language Model Capable of Autoregressive Gen- eration in Arbitrary Word Order,Long,"Yi Liao, Xin Jiang and Qun Liu",2020/07/06,05:00–06:00,Session 1A Generation-1
"Reverse Engineering Conﬁgurations of Neural Text Generation Models Yi Tay, Dara Bahri, Che Zheng, Clifford Brunk, Donald Metzler and Andrew",Short,Tomkins,2020/07/06,05:00–06:00,Session 1A Generation-1
Review-based Question Generation with Adaptive Instance Transfer and Augmentation,Long,"Qian Yu, Lidong Bing, Qiong Zhang, Wai Lam and Luo Si",2020/07/06,,
TAG : Type Auxiliary Guiding for Code Comment Generation,Long,"Ruichu Cai, Zhihao Liang, Boyan Xu, zijian li, Yuexing Hao and Yao Chen",2020/07/06,,
Unsupervised Paraphrasing by Simulated Annealing,Long,"Xianggen Liu, Lili Mou, Fandong Meng, Hao Zhou, Jie Zhou and Sen Song",2020/07/06,,
"A Joint Model for Document Segmentation and Segment Labeling Joe Barrow, Rajiv Jain, Vlad Morariu, Varun Manjunatha, Douglas Oard and Philip",Long,Resnik,2020/07/06,05:00–06:00,Session 1A Information Retrieval and Text Mining-1
Contextualized Weak Supervision for Text Classiﬁcation,Long,Dheeraj Mekala and Jingbo Shang,2020/07/06,05:00–06:00,Session 1A Information Retrieval and Text Mining-1
Every Document Owns Its Structure: Graph Neural Networks,Short,"Yufeng Zhang, Xueli Yu, Zeyu Cui, Shu Wu, Zhongzhen Wen and Liang Wang",2020/07/06,05:00–06:00,Session 1A Information Retrieval and Text Mining-1
"Neural Topic Modeling with Bidirectional Adversarial Training Rui Wang, Xuemeng Hu, Deyu Zhou, Yulan He, Yuxuan Xiong, Chenchen Ye and",Long,Haiyang Xu,2020/07/06,05:00–06:00,Session 1A Information Retrieval and Text Mining-1
Text Classiﬁcation with Negative Supervision,Short,"Sora Ohashi, Junya Takayama, Tomoyuki Kajiwara, Chenhui Chu and Yuki Arase",2020/07/06,05:00–06:00,Session 1A Information Retrieval and Text Mining-1
Content Word Aware Neural Machine Translation,Short,"Kehai Chen, Rui Wang, Masao Utiyama and Eiichiro Sumita",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
Evaluating Explanation Methods for Neural Machine Translation,Long,"Jierui Li, Lemao Liu, Huayang Li, Guanlin Li, Guoping Huang and Shuming Shi",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
Jointly Masked Sequence-to-Sequence Model for Non-Autoregressive Neu- ral Machine Translation,Long,"Junliang Guo, Linli Xu and Enhong Chen",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
Learning Source Phrase Representations for Neural Machine Translation,Long,"Hongfei Xu, Josef van Genabith, Deyi Xiong, Qiuhui Liu and Jingyi Zhang",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
Lipschitz Constrained Parameter Initialization for Deep Transformers,Short,"Hongfei Xu, Qiuhui Liu, Josef van Genabith, Deyi Xiong and Jingyi Zhang",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
Location Attention for Extrapolation to Longer Sequences,Long,"Yann Dubois, Gautier Dagan, Dieuwke Hupkes and Elia Bruni",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
Multiscale Collaborative Deep Models for Neural Machine Translation,Long,"Xiangpeng Wei, Heng Yu, Yue Hu, Yue Zhang, Rongxiang Weng and Weihua Luo",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
Norm-Based Curriculum Learning for Neural Machine Translation,Long,"Xuebo Liu, Houtim Lai, Derek F. Wong and Lidia S. Chao",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
Opportunistic Decoding with Timely Correction for Simultaneous Transla- tion,Short,"Renjie Zheng, Mingbo Ma, Baigong Zheng, Kaibo Liu and Liang Huang",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
"A Formal Hierarchy of RNN Architectures William Merrill, Gail Weiss, Yoav Goldberg, Roy Schwartz, Noah A. Smith and",Long,Eran Yahav,2020/07/06,05:00–06:00,Session 1A Theory and Formalism in NLP (Linguistic and Mathematical)-1
A Three-Parameter Rank-Frequency Relation in Natural Languages,Short,"Chenchen Ding, Masao Utiyama and Eiichiro Sumita",2020/07/06,05:00–06:00,Session 1A Theory and Formalism in NLP (Linguistic and Mathematical)-1
Dice Loss for Data-imbalanced NLP Tasks,Long,"Xiaoya Li, Xiaofei Sun, Yuxian Meng, Junjun Liang, Fei Wu and Jiwei Li",2020/07/06,05:00–06:00,Session 1A Theory and Formalism in NLP (Linguistic and Mathematical)-1
Emergence of Syntax Needs Minimal Supervision,Long,Raphaël Bailly and Kata Gábor,2020/07/06,05:00–06:00,Session 1A Theory and Formalism in NLP (Linguistic and Mathematical)-1
